tick,time,battery_charge,solar_output,powerbus_available
0,0,505,200,0
1,0.1,510,199.001,0
2,0.2,515,196.013,0
3,0.3,520,191.067,0
4,0.4,525,184.212,0
5,0.5,530,175.517,0
6,0.6,535,165.067,0
7,0.7,540,152.968,0
8,0.8,545,139.341,0
9,0.9,550,124.322,0
10,1,555,108.06,0
11,1.1,560,90.7192,0
12,1.2,565,72.4716,0
13,1.3,570,53.4998,0
14,1.4,575,33.9934,0
15,1.5,580,14.1474,0
16,1.6,585,5.8399,0
17,1.7,590,25.7689,0
18,1.8,595,45.4404,0
19,1.9,600,64.6579,0
20,2,605,83.2294,0
21,2.1,610,100.969,0
22,2.2,615,117.7,0
23,2.3,620,133.255,0
24,2.4,625,147.479,0
25,2.5,630,160.229,0
26,2.6,635,171.378,0
27,2.7,640,180.814,0
28,2.8,645,188.444,0
29,2.9,650,194.192,0
30,3,655,197.998,0
31,3.1,660,199.827,0
32,3.2,665,199.659,0
33,3.3,670,197.496,0
34,3.4,675,193.36,0
35,3.5,680,187.291,0
36,3.6,685,179.352,0
37,3.7,690,169.62,0
38,3.8,695,158.194,0
39,3.9,700,145.186,0
40,4,705,130.729,0
41,4.1,710,114.965,0
42,4.2,715,98.0522,0
43,4.3,720,80.1598,0
44,4.4,725,61.4666,0
45,4.5,730,42.1592,0
46,4.6,735,22.4305,0
47,4.7,734.955,2.47773,0
48,4.8,739.955,17.4998,0
49,4.9,744.955,37.3025,0
